created_by,created_date,enabled,last_modified_by,last_modified_date,name,sort_order
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,多商家,1
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,电商,2
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,外卖,3
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,美食,4
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,婚庆,5
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,房产,6
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,鲜花,7
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,酒店,8
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,KTV,9
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,社会,10
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,超市,11
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,公司,12
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,珠宝,13
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,旅游,14
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,运动,15
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,美容,16
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,家居,17
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,果蔬,18
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,医药,19
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,母婴,20
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,教育,21
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,摄影,22
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,社区,23
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,汽车,24
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,资讯,25
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,金融,26
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,家政,27
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,票务,28
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,洗浴,29
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,工具,30
10000,2017-10-08 00:06:22.000000,1,10000,2017-10-08 00:06:22.000000,保险,31
